id,label,bearing,current_stop_sequence,direction_id,longitude,latitude,speed,updated_at,current_status,route_id,stop_id
"1821","1821","None","1","0","-71.0601425171","42.3392486572","None","2019-08-15T22:27:37-04:00","STOPPED_AT","CR-Franklin","South Station-08"
"y1917","1917","193.0","9","0","-71.0879974365","42.3854637146","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","80","2394"
"R-545F37EA","1874","85.0","1","0","-71.1405410767","42.3961791992","None","2019-08-15T22:27:19-04:00","STOPPED_AT","Red","Alewife-02"
"y1892","1892","306.0","1","0","-71.0867156982","42.3355636597","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","23","17862"
"O-545F320B","1304","40.0","70","1","-71.080039978","42.3441810608","None","2019-08-15T22:27:42-04:00","INCOMING_AT","Orange","70015"
"y1116","1116","279.0","None","1","-71.0638198853","42.3339614868","None","2019-08-15T22:27:56-04:00","IN_TRANSIT_TO","743",""
"y1287","1287","90.0","1","1","-71.0560379028","42.3520698547","None","2019-08-15T22:27:54-04:00","IN_TRANSIT_TO","751","6538"
"y0613","0613","328.0","1","1","-71.1237411499","42.3980674744","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","77","7922"
"R-545F37CD","1826","275.0","170","1","-71.0808792114","42.3620300293","None","2019-08-15T22:27:52-04:00","IN_TRANSIT_TO","Red","70072"
"y1606","1606","5.0","18","1","-71.1188354492","42.2800216675","None","2019-08-15T22:27:55-04:00","IN_TRANSIT_TO","32","6478"
"G-10056","3230","270.0","6","0","-71.0754623413","42.2697982788","None","2019-08-15T22:28:00-04:00","INCOMING_AT","Mattapan","70271"
"R-545F39F2","1631","350.0","120","1","-71.0570678711","42.3427314758","None","2019-08-15T22:27:41-04:00","STOPPED_AT","Red","70082"
"B-545F3A81","0725","230.0","50","0","-71.0105361938","42.3849716187","None","2019-08-15T22:27:05-04:00","INCOMING_AT","Blue","70049"
"y1294","1294","309.0","8","1","-71.0413742065","42.347858429","None","2019-08-15T22:27:52-04:00","IN_TRANSIT_TO","742","74615"
